Fecha.DOF|TC
09/12/2008|13.4597
10/12/2008|13.4921
11/12/2008|13.4722
12/12/2008|N/E
13/12/2008|N/E
14/12/2008|N/E
15/12/2008|13.1821
16/12/2008|13.3317
17/12/2008|13.2717
18/12/2008|13.1275
19/12/2008|13.2150
20/12/2008|N/E
21/12/2008|N/E
22/12/2008|13.1197
23/12/2008|13.1742
24/12/2008|13.2175
25/12/2008|N/E
26/12/2008|13.3114
27/12/2008|N/E
28/12/2008|N/E
29/12/2008|13.3538
30/12/2008|13.5383
31/12/2008|13.7738
01/01/2009|N/E
02/01/2009|13.8325
03/01/2009|N/E
04/01/2009|N/E
05/01/2009|13.7678
06/01/2009|13.5507
07/01/2009|13.3458
08/01/2009|13.4136
09/01/2009|13.5045
10/01/2009|N/E
11/01/2009|N/E
12/01/2009|13.7008
13/01/2009|13.7608
14/01/2009|13.8390
15/01/2009|14.1083
16/01/2009|14.2192
17/01/2009|N/E
18/01/2009|N/E
19/01/2009|13.9058
20/01/2009|13.9777
21/01/2009|13.9382
22/01/2009|13.9145
23/01/2009|13.9325
24/01/2009|N/E
25/01/2009|N/E
26/01/2009|14.0950
27/01/2009|13.9342
28/01/2009|14.1675
29/01/2009|14.1513
30/01/2009|14.1975
31/01/2009|N/E
01/02/2009|N/E
02/02/2009|N/E
03/02/2009|14.3097
04/02/2009|14.5404
05/02/2009|14.4667
06/02/2009|14.2945
07/02/2009|N/E
08/02/2009|N/E
09/02/2009|14.1778
10/02/2009|14.1392
11/02/2009|14.3575
12/02/2009|14.5313
13/02/2009|14.6013
14/02/2009|N/E
15/02/2009|N/E
16/02/2009|14.4326
17/02/2009|14.5288
18/02/2009|14.6118
19/02/2009|14.6725
20/02/2009|14.5505
21/02/2009|N/E
22/02/2009|N/E
23/02/2009|14.8163
24/02/2009|14.8528
25/02/2009|14.8327
26/02/2009|14.9275
27/02/2009|14.9322
28/02/2009|N/E
01/03/2009|N/E
02/03/2009|15.0698
03/03/2009|15.3650
04/03/2009|15.3372
05/03/2009|15.2178
06/03/2009|15.2855
07/03/2009|N/E
08/03/2009|N/E
09/03/2009|15.2633
10/03/2009|15.3517
11/03/2009|15.3142
12/03/2009|15.1145
13/03/2009|14.9083
14/03/2009|N/E
15/03/2009|N/E
16/03/2009|N/E
17/03/2009|14.5690
18/03/2009|14.0502
19/03/2009|14.1457
20/03/2009|14.0800
21/03/2009|N/E
22/03/2009|N/E
23/03/2009|14.1480
24/03/2009|14.3204
25/03/2009|14.2683
26/03/2009|14.2358
27/03/2009|14.2163
28/03/2009|N/E
29/03/2009|N/E
30/03/2009|14.3317
31/03/2009|14.3855
01/04/2009|14.1517
02/04/2009|13.9108
03/04/2009|13.7924
04/04/2009|N/E
05/04/2009|N/E
